Date,MSCI Europe
06/2006,277852.916192005
07/2006,280895.74763185746
08/2006,287867.1237828568
09/2006,294711.8745694034
10/2006,306479.83468649624
11/2006,305258.2018096428
12/2006,315777.93087579426
01/2007,322940.0023996374
02/2007,315518.3362534028
03/2007,324326.41279538337
04/2007,337982.69193546847
05/2007,347822.1420137547
06/2007,346414.7415487667
07/2007,334041.64220641216
08/2007,330401.5370731956
09/2007,335524.20194334816
10/2007,344646.0254420172
11/2007,326517.68502777116
12/2007,321669.36873719917
01/2008,285219.3226303825
02/2008,284124.36663600703
03/2008,273668.5356548583
04/2008,291060.0858088972
05/2008,292950.50199385645
06/2008,263110.93217147305
07/2008,258053.63895773905
08/2008,262629.3298294094
09/2008,229748.7132559172
10/2008,202867.2668107156
11/2008,189401.10231869525
12/2008,182299.0920928209
01/2009,176068.01895264108
02/2009,160331.79300387847
03/2009,162888.9811440356
04/2009,186061.99963570395
05/2009,196452.46775769236
06/2009,192114.84317050732
07/2009,212232.16640699946
08/2009,223498.7168114567
09/2009,227945.18967313686
10/2009,222907.87438320482
11/2009,225973.8821496376
12/2009,239209.04760504625
01/2010,232166.34710474094
02/2010,234187.29893233126
03/2010,251048.01302206426
04/2010,247264.18598945957
05/2010,234946.65453484352
06/2010,233884.17401496667
07/2010,245946.60807011498
08/2010,243398.47198245153
09/2010,250986.5468345536
10/2010,257911.05895510045
11/2010,254079.29080707877
12/2010,267901.6779360206
01/2011,271749.513434496
02/2011,277790.58675383945
03/2011,268242.0732742499
04/2011,276975.0395698913
05/2011,276678.4751030991
06/2011,270100.54195798066
07/2011,264476.3467412513
08/2011,234850.0126091431
09/2011,223734.4987829254
10/2011,241892.21445048522
11/2011,241012.72379014103
12/2011,246073.43805965586
01/2012,252972.5473159147
02/2012,263651.83769023535
03/2012,263807.99143383274
04/2012,260533.26782125418
05/2012,243547.96229518563
06/2012,258960.08166096214
07/2012,268397.9063222759
08/2012,272970.7953727228
09/2012,274096.7216100142
10/2012,276732.201228433
11/2012,284071.61174913286
12/2012,287460.6674171951
01/2013,296270.25092438265
02/2013,297314.38110352686
03/2013,304206.27999874303
04/2013,310919.9326511259
05/2013,313075.58470935485
06/2013,296279.18549001607
07/2013,313425.59193865326
08/2013,310361.8344132104
09/2013,326023.79438350577
10/2013,336601.3314294768
11/2013,341330.9661546161
12/2013,344415.22099261446
01/2014,337841.6633949263
02/2014,354718.9883923208
03/2014,351733.37252052076
04/2014,358893.37104266736
05/2014,368570.2668970448
06/2014,366816.2853753109
07/2014,360310.6427280545
08/2014,367062.99680660333
09/2014,370267.4555965352
10/2014,362203.96758373466
11/2014,373053.03237142303
12/2014,367050.21353519073
01/2015,394179.4347086487
02/2015,421350.37070022343
03/2015,428493.63165427203
04/2015,428917.4755196788
05/2015,435117.33795693266
06/2015,413493.7718106997
07/2015,435040.5838393367
08/2015,395126.57933029963
09/2015,377085.01143833855
10/2015,410907.89072526013
11/2015,420076.9869088335
12/2015,397687.99608000595
01/2016,370351.5211047289
02/2016,364785.7645956977
03/2016,370759.8247841195
04/2016,379217.68932782847
05/2016,385404.51768005366
06/2016,369985.6665300005
07/2016,385094.416066575
08/2016,385571.49238022894
09/2016,387919.8627898107
10/2016,382656.9088621559
11/2016,385280.48559780867
12/2016,409088.2841065431
01/2017,409276.6629178326
02/2017,420340.6793622682
03/2017,433376.27808294736
04/2017,438867.23720340506
05/2017,448215.38357765565
06/2017,435900.2640180988
07/2017,436855.0453679013
08/2017,433486.59729913244
09/2017,448511.08631901344
10/2017,457124.9619397659
11/2017,449972.39891596383
12/2017,451272.5597176306
01/2018,457944.7385919936
02/2018,439602.73353844386
03/2018,430541.38973218965
04/2018,451319.4600175783
05/2018,450680.2333590974
06/2018,449234.24603103945
07/2018,461102.78805597784
08/2018,451493.9860411582
09/2018,456037.7011353053
10/2018,430836.6928839223
11/2018,425282.38098929316
12/2018,402416.12560125417
01/2019,427508.764555195
02/2019,444654.3642893638
03/2019,454574.2147130301
04/2019,471540.85915493366
05/2019,448384.0198646817
06/2019,468874.8224370389
07/2019,469234.2596773712
08/2019,462198.6876903012
09/2019,481186.9741921868
10/2019,484833.3412867553
11/2019,499784.1901607065
12/2019,507657.7831687136
